from_airport,from_latitude,from_longitude,to_airport,to_latitude,to_longitude
Vinh Long Airfield,32.790614,35.326882,Tokushima Airport/JMSDF Air Base,2.886246,-75.433419
Park Rapids Municipal Konshok Field,11.5291917,8.6573084,Kegelman AF Aux Field,30.4864144,-97.6722668
Libenge Airport,8.508983,125.969667,Virginia Tech Montgomery Executive Airport,-6.939897,106.9506175
Quepos Managua Airport,27.519549,114.073416,Juanjui Airport,43.3022775,77.2269221
Lizard Island Airport,14.6141298,121.0143507,Meekatharra Airport,-3.8847265,130.897445
Capitan Fuentes Martinez Airport Airport,0.3407154,127.8300034,Tekadu Airport,50.3611702,13.7024033
Melbourne Moorabbin Airport,13.447898,22.4649083,Cap Skirring Airport,41.5023719,-8.5818392
Combolcha Airport,22.948016,113.366904,Greenville Airport,26.610707,115.81778
Grand-Santi Airport,37.4968471,23.447887,Conakry International Airport,43.4914335,5.3707209
Pakuba Airfield,59.6322811,16.5613311,Mopah Airport,35.202503,102.521807
Bugulma Airport,13.8354819,-88.9856574,Block Island State Airport,38.58,-121.49
Dandong Airport,-19.8428824,-44.6064582,Redzikowo Air Base,16.05287,43.70929
China Bay Airport,55.7538999,37.6451342,Foothills Regional Airport,34.0625448,-118.3089341
Bunia Airport,37.97,-87.5699999,Croisette Heliport,-18.6517964,-48.1904503
Caquetania Airport,28.109598,116.527871,Praslin Airport,24.162165,114.945555
Juína Airport,3.6540491,-76.1088001,Lucca-Tassignano Airport,29.714699,118.337521
Heydar Aliyev International Airport,43.30706,124.33539,Harris County Airport,45.3204459,-73.7525458
Skeldon Airport,38.8082362,-9.4468279,Valkenburg Naval Air Base,41.3445243,19.7234519
Plato Airport,58.3721026,13.1402383,San Ramón Airport,50.9173381,7.0902515
Baitadi Airport,31.549333,-97.1466695,Valence-Chabeuil Airport,-7.823074,110.1576731
CFB Greenwood,53.5050031,-6.4671298,Kuwait International Airport,52.3620932,16.8088394
Gora Airstrip,50.5269291,14.9720041,Anápolis Airport,-5.8949347,-35.4343604
Varna Airport,-6.3077304,106.1831224,Dubai Creek SPB,-4.0078909,-79.2112769
Aleppo International Airport,7.0241972,79.9020405,Moorea Airport,-8.5167606,123.385081
Lakehurst Maxfield Field Airport,46.6521155,38.0807467,Longdongbao Airport,-28.6229959,-52.8711249
Rapid City Regional Airport,8.508983,125.969667,Man Airport,32.59,-93.85
Palestine Municipal Airport,40.9279942,19.9481973,Sampson County Airport,14.5933217,-90.496159
Naoro Airport,4.4279197,-7.3570576,Red Lake Airport,41.9250632,25.5508839
Oulu Airport,39.553172,98.981746,Gonder Airport,29.344253,104.069087
Ceres Airport,0.202957,35.0978385,Paradise Island Airport,-17.1023219,49.1221414
Uyuni Airport,14.5672162,121.0042974,Ainsworth Regional Airport,6.6644629,2.1597595
Udon Thani Airport,51.3410301,22.753461,Aktion National Airport,67.8256178,20.3351033
Albert J Ellis Airport,34.197813,108.95974,Northern Maine Regional Airport at Presque Isle,13.5213331,120.9787095
Jessore Airport,45.5833482,-73.4372336,Dominique Edward Osok Airport,25.941937,117.365052
Akureyri Airport,56.0764877,38.5052448,Louis Armstrong New Orleans International Airport,18.0313661,103.7089573
Basco Airport,45.3969917,14.392612,Magdalena Airport,13.0710293,123.4584998
Ben Ya'akov Airport,25.9375976,-100.3638252,Ta'izz International Airport,9.8657623,123.9891483
Four Corners Regional Airport,14.576059,121.122805,Ghazni Airport,-0.8406658,-80.1596041
